1, The staff requested that everyone in the audience ( ) off their cell phones during the concert., turn, turned, would turn, have turned, 日本大学, 2, 提案・要求を表す動詞 request の後の that 節内では、動詞は「(should) + 原形」になるという仮定法現在のルールに基づきます。
2, The price of gasoline ( ) by more than five percent earlier this year., has risen, rose, raised, has raised, 日本大学, 2, 自動詞 rise（上がる）と他動詞 raise（〜を上げる）の区別が必要です。ガソリン価格が「上がった」ので自動詞、かつ earlier this year という過去を示す語があるため、現在完了ではなく過去形の rose が正解です。
3, I wasn't sure that I ( ) the man before., had met, was meeting, met, have met, 日本大学, 2, 主節が wasn't（過去）であり、それよりも前の出来事（以前に会ったこと）を表すため、過去完了形 had met を用います。
4, Nicole ( ) novels for about seven years when she won the national novel contest., had been writing, has been writing, has written, is writing, センター試験, 2, 過去のある時点（won）まで継続していた動作を表す過去完了進行形です。
5, The train ( ) when I reached the platform, so I didn't have to wait in the cold., had already arrived, has already arrived, previously arrived, previously arrives, センター試験, 2, 過去のある時点（reached：プラットフォームに着いた時）を基準とし、その時すでに「到着していた」という完了の状態を表すため、過去完了形（had + 過去分詞）を用います。
6, I was fast asleep, so I didn't hear the car accident that ( ) at 2 a.m. this morning., happened, happens, was happened, would happen, センター試験, 1, 「今日の午前2時」という過去の具体的な出来事を表すため、単純過去形を用います。また、happen（起こる）は自動詞なので、受動態（was happened）にはできない点も重要です。
7, Ever since they first met at the sports festival, Pat and Pam ( ) each other., have been emailing, are emailing, emailed, will email, センター試験, 2, ever since（以来ずっと）という言葉があるため、過去から現在まで続いている「動作の継続」を表す現在完了進行形（have been emailing）を用います。
2, By next year, she ( ) in this company for ten years., will have been working, will work, would be worked, will be working, 中央大学, 2, 「来年で～になる」という未来のある時点までの継続を表す未来完了進行形の問題です。By next year（未来の期限）と for ten years（期間）がヒントになります。
3, It is essential that each team member ( ) respect for others to work harmoniously., have, be had, having, to have, 中央大学, 2, 「必要・重要（essential）」を表す形容詞に続く that 節内では、動詞は (should) + 原形 になるという文法規則に基づいています。主語が単数でも have（原形）を選びます。
1, On my way to school each day, I generally ( ) many dogs and cats., see, am seeing, were seeing, was seen, 明治大学, 1, 「each day（毎日）」や「generally（ふだん、たいてい）」という言葉があることから、現在の習慣的な動作を表す文であることがわかります。現在の習慣は、進行形ではなく現在形を用いるのがルールです。
2, Water ( ) at a temperature of 100 degrees centigrade., boils, is boiling, was boiling, used to boil, 上智大学, 1, 「水は摂氏100度で沸騰する」という事実は、時を超えて変わることのない不変の真理（科学的事実）です。このような内容は、常に現在形で表現します。
3, My father sometimes ( ) me with my homework when I was a student., helped, helps, has helped, is helping, 広島経済大学, 1, 文末の「when I was a student（私が学生だったとき）」という副詞節に注目します。過去の特定の時期における習慣的な動作（過去の事実）を述べているため、過去形の helped を用います。
4, I have no idea when he ( ) next time., will come, comes, has come, coming, 玉川大学, 2, when以下の節は、knowの目的語にあたる「いつ彼が来るか」という名詞節です。名詞節の中では、未来のことは未来形で表すため will come が正解です。※「時や条件を表す副詞節」ではないため、現在形で代用はしません。
5, I ( ) lunch at the moment. Can you come back later?, am having, had, have had, had had, 松山大学, 1, 「at the moment（ちょうど今）」という言葉があることから、現在進行中の動作を表す文です。haveは「持っている」という状態を表す時は進行形にできませんが、「食べる」という意味の動作動詞として使う場合は進行形にできます。
6, They ( ) at Narita tomorrow., are arriving, arrived, is going to arrive, will be arrived, 東北学院大学, 2, 往来発着動詞（arrive、 come、 goなど）は、現在進行形を用いることで「確定的な近い未来の予定」を表すことができます。「彼らは明日成田に到着する予定です」という確定したスケジュールを述べています。
7, I ( ) my hair when the phone started ringing., was washing, wash, was washed, have been washing, 関東学院大学, 1, 「電話が鳴り始めた（過去の時点）」ときに、ちょうど「洗髪している最中だった」という過去のある時点での進行中の動作を表すため、過去進行形を用います。
8, The president ( ) on TV tomorrow evening., will be appearing, will have appeared, has been appearing, could have appeared, 獨協大学, 2, 「明日の晩」という未来において、予定されている動作が進行している状態（あるいは単純な未来の予定）を表す未来進行形（will be V-ing）が適切です。
9, My brother ( ) his company's basketball team., belongs to, is belonging, is belonging to, belongs, 桃山学院大学, 2, belong to（〜に所属している）は継続的な状態を表す動詞であるため、進行形にはできません。現在の状態は現在形（三人称単数）で表します。
10, Listen! I ( ) a funny noise outside., hear, am hearing, have heard, was hearing, 高崎経済大学, 2, hear（聞こえる）は無意識的な知覚を表す状態動詞であるため、進行形にはできません。今まさに聞こえている場合でも現在形を用います。※listenは意識的に聴く「動作」ですが、結果として聞こえてくる内容はhearで表します。
11, "Are John and Mary still living in New York?" "No, they ( ) to Dallas.", have just moved, are just moved, had just moved, will just move, センター試験, 2, 「たった今〜した」という現在の完了・結果を表すため現在完了形を用います。「今も住んでいるか」という現在の問いに対する返答です。\
12, I know all about that film because I ( ) it twice., have seen, am seeing, have been seeing, will be seeing, 阪南大学, 1, 「2回（twice）」という回数があり、過去から現在までの「経験」を述べているため、現在完了形が適切です
13, My wife and I ( ) each other since we were in high school., have known, got to know, have been knowing, know, 慶應義塾大学, 2, 「高校生以来（since...）」という継続期間があるため完了形を使います。knowは状態動詞で進行形にできないため現在完了形を用います。
14, 3時間歩いているが、まだ町に着かない。 ( ) for three hours, but we cannot get to the town yet., We have been walking, We would walk, We walk, We are walking, 浜松大学, 2, 「3時間歩き続けている」という動作の継続を強調する文脈です。今も着いていない状況なので現在完了進行形が最適です。
15, 空港まで友だちを見送りに行ってきたところです。 I have just ( ) to the airport to see my friends off., been, gone, went, going, 立命館大学, 1, 「〜へ行ってきたところだ（完了）」を表すには <have been to ～> を用います。have gone to は「行ってしまった（結果）」となります。
16, A : ( )? B : Yes, only once., Have you ever been to China, Do you know where China is, When did you go to China, How do you like China, センター試験, 2, 答えが「1回だけ（only once）」という経験を答えているため、問いも経験を尋ねる Have you ever been to... となります。
17, Tom ( ) to San Francisco to see a friend of his last month., went, goes, is going, has gone, 浜松大学, 1, 「last month（先月）」という過去を特定する語句があるため、現在完了形は使えず単純過去形を用います。
18, He ( ) home just now. Didn’t you know that?, came, comes, has come, had come, 拓殖大学, 2, 「just now」は「たった今（＝a moment ago）」という意味の過去の一点として扱われるため、過去形を用います。
19, The train ( ) when I reached the platform, so I didn’t have to wait in the cold., had already arrived, has already arrived, previously arrived, previously arrives, センター試験, 2, 「着いた（過去）」ときより前に到着していたという「大過去」を表すため過去完了形を用います。
20, Bob ( ) drifting in a small boat for two days before he was found., had been, has been, is, have been, 南山大学, 2, 「発見された（過去）」という基準点より前の、2日間にわたる継続を表すため、過去完了形の had been を用います。
21, I lost the watch which my sister ( ) me for my birthday., had given, gives, has given, will give, 京都学園大学, 1, 「なくした（過去）」よりも前に「妹がくれた」という動作が起きているため、大過去を表す過去完了形を用います。
22, By next week you ( ) the package., will have received, receiving, received, have received, 南山大学, 2, 「来週までには」という未来の期限があるため、未来のある時点での完了を表す未来完了形を用います。
23, Could you ask Mary to call me back when she ( ) home?, comes, came, come, will come, 共立女子大学, 2, when節が「〜する時」という時を表す副詞節であるため、未来の内容でも現在形の comes を用います。
24, I will wait here until she ( )., comes, came, come, will come, 北海学園大学, 1, until（〜するまで）が導く副詞節内では、未来のことでも現在形を用います。
25, I won’t go out if it ( ) tomorrow., rains, rain, rained, will rain, 実践女子大学, 1, if節が「もし〜なら」という条件を表す副詞節であるため、未来の内容でも現在形を用います。
26, “Is Bill still using your car?” “Yes, I wonder when he ( ) it.”, will return, has returned, returned, returns, センター試験, 2, I wonder の後ろの when 節は「いつ〜か」という名詞節です。名詞節の中では未来のことは will を用いて表します。
27, I don’t know if he ( ) back next spring., will come, comes, came, had come, 流通経済大学, 2, if節が「〜かどうか」という名詞節（knowの目的語）であるため、未来の内容は未来形 will come で表します。
28, Some books will be forgotten as soon as we ( ) them., have read, will have read, will read, reading, 流通経済大学, 2, as soon as（〜するとすぐに）という時を表す副詞節内では、未来の完了を現在完了形（have read）で代用します。
